State,City,PD,ORI,Black People Killed by Police (1/1/2013-12/31/2020),Hispanic People Killed by Police (1/1/2013-12/31/2020),Native American People Killed by Police (1/1/2013-12/31/2020),Asian People Killed by Police (1/1/2013-12/31/2020),Pacific Islanders Killed by Police (1/1/2013-12/31/2020),White People Killed by Police (1/1/2013-12/31/2020),Unknown Race People Killed by Police (1/1/2013-12/31/2020),All People Killed by Police (1/1/2013-12/31/2020),Allegedly Armed People Killed by Police (1/1/2013-12/31/2019),Unarmed/Did Not Have an Actual Weapon People Killed by Police (1/1/2013-12/31/2019),Unclear Armed Status People Killed by Police (1/1/2013-12/31/2019),People Armed with Vehicle Killed by Police (1/1/2013-12/31/2019),Total Population (Census ACS 5 Year 2018),Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Violent crimes 2019 (if reported by agency),Average Violent Crimes Reported 2013-19,Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,2019 Total Arrests,Estimated Average Arrests per Year 2013-2019,Killings by Police per 10k Arrests
New Mexico,Albuquerque,Albuquerque Police Department,NM0010100,3,22,,,,12,1,38,31,3,4,,"559,202","15,399","220,123","22,208","15,244",319,15563,"1,666","10,429","273,814",28.48,8.5,24.4,6.8,10.0,3.57,1.47,4325,4934,5406,6245,7686,7646,7604,6263.7,11.2,27700,25447,22126,20341,21134,22247,22118,22236,17.1
California,Anaheim,Anaheim Police Department,CA0300100,3,8,,,,3,,14,7,4,2,1,"349,668","7,868","86,613",558,"57,766","1,171",58937,359,"6,576","188,757",27.78,5.0,47.7,4.3,5.3,11.01,1.22,1130,1101,1271,1209,1253,1192,1120,1182.3,3.4,7891,8137,8381,9415,8869,10019,9645,9078,15.4
Alaska,Anchorage,Anchorage Police Department,AK0010100,1,1,3,,1,6,4,16,13,2,,1,"296,112","15,671","173,209","20,443","27,938","6,694",34632,800,"24,510","26,847",34.33,6.8,8.0,4.3,4.7,1.84,1.08,2435,2605,3226,3422,3564,3824,3584,3237.1,10.9,17601,14748,14387,13294,13871,13973,13655,13988,11.4
Texas,Arlington,Arlington Police Department,TX2200100,7,1,,2,,3,,13,7,4,,2,"392,462","86,186","153,476","1,029","26,720",488,27208,1067,"8,901","114,595",39.74,4.1,10.2,2.4,1.1,4.16,0.45,1837,1854,1946,2188,,1784,2058,1944.5,5.0,17258,16222,13999,11024,8354,9552,10319,11578,11.2
Georgia,Atlanta,Atlanta Police Department,GAAPD0000,16,,,,,1,1,18,10,6,1,1,"479,655","246,821","180,462",582,"19,807",61,19868,1033,"10,038","20,851",74.12,4.7,8.1,0.7,0.0,11.70,0.00,5517,5577,5203,5121,4504,3814,3045,4683.0,9.8,30505,26958,24601,22161,22581,,,24075,7.5
Colorado,Aurora,Aurora Police Department,CO0010100,8,3,,1,,6,2,20,13,2,4,1,"363,550","56,073","163,482","1,806","22,848",1221,24069,1494,"13,235","103,391",28.72,6.9,17.8,4.6,3.6,3.89,0.79,1436,1448,1660,1939,2239,2716,2807,2035.0,5.6,21177,20466,20501,17443,15936,15767,14697,17468,11.4
Texas,Austin,Austin Police Department,TX2270100,5,8,,1,,18,,32,27,5,,,"935,755","69,770","452,110","1,591","67,929",252,68181,"1,694","21,847","320,562",54.14,4.3,9.0,5.0,3.1,1.80,0.63,3123,3581,3497,3903,4032,3720,3953,3687.0,3.9,37024,36524,33102,30687,28460,24359,24302,29572,10.8
California,Bakersfield,Bakersfield Police Department,CA0150200,3,17,,1,,6,,27,16,6,5,,"375,699","26,238","125,841","1,068","27,029",730,27759,765,"7,877","186,151",43.39,9.0,14.3,6.0,11.4,2.40,1.92,1857,1678,1810,1821,1827,1895,1766,1807.7,4.8,16786,20913,21814,21629,16822,13048,13358,17931,15.1
Maryland,Baltimore,Baltimore Police Department,MDBPD0000,29,,,,,4,1,34,26,7,,1,"614,700","380,636","169,285","1,353","15,862",194,16056,2219,"13,648","31,503",68.90,6.9,9.5,3.0,0.0,3.22,0.00,8725,8346,9542,11010,12430,11100,11101,10322.0,16.8,47560,46232,32939,29660,29044,25567,24831,31379,10.8
Louisiana,Baton Rouge,Baton Rouge Police Department,LA0170200,11,,,,,,,11,8,2,,1,"225,362","123,580","82,419",348,"7,264",90,7354,309,"3,043","8,309",66.94,6.1,11.1,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,2127,2120,2001,2143,2335,2067,2069,2123.1,9.4,,,15244,13322,12829,10773,11219,12677,8.7
