Victim_age,Victim_gender,Victim_race,Date ,County,Agency_responsible_death,Cause_death
Unknown,Male,Unknown race,2020-06-09 00:00:00,Virginia Beach City,Virginia Beach Police Department,Gunshot
Unknown,Male,Unknown race,2020-05-09 00:00:00,Cook,Chicago Police Department,Gunshot
61,Male,Unknown race,2020-05-09 00:00:00,Bexar,San Antonio Police Department,Gunshot
22,Male,Unknown race,2020-05-09 00:00:00,Calhoun,"Battle Creek Police Department, Calhoun County Sheriff's Office",Gunshot
33,Male,Unknown race,2020-04-09 00:00:00,Onondaga,Syracuse Police Department,Gunshot
38,Male,White,2020-04-09 00:00:00,San Bernardino,San Bernardino County Sheriff's Office,Gunshot
48,Male,White,2020-03-09 00:00:00,Thurston,U.S. Marshals Service,Gunshot
53,Male,White,2020-03-09 00:00:00,Scott,Bettendorf Police Department,Gunshot
Unknown,Male,Unknown race,2020-03-09 00:00:00,Kern,Kern County Sheriff's Office,Gunshot
18,Male,Black,2020-02-09 00:00:00,District of Columbia,DC Metropolitan Police Department,Gunshot
50,Male,White,2020-01-09 00:00:00,Sacramento,Sacramento Police Department,Gunshot
58,Male,Unknown race,31/08/2020,Ada,Boise Police Department,Gunshot
36,Male,Hispanic,31/08/2020,San Juan,San Juan County Sheriff's Office,Gunshot
29,Male,Black,31/08/2020,Los Angeles,Los Angeles County Sheriff's Department,Gunshot
26,Male,Hispanic,31/08/2020,Cook,Chicago Police Department,Gunshot
26,Male,White,30/08/2020,Fresno,Clovis Police Department,Gunshot
25,Male,Hispanic,30/08/2020,Orange,Anaheim Police Department,Gunshot
43,Male,Black,29/08/2020,Wayne,Dearborn Heights Police Department,Gunshot
44,Male,Black,29/08/2020,Volusia,"Holly Hill Police Department, Daytona Beach Police Department",Gunshot
Unknown,Male,Unknown race,29/08/2020,Mesa,"Mesa County Sheriff's Office, Fruita Police Department",Gunshot
36,Male,Hispanic,28/08/2020,Howard,Maryland State Police,Gunshot
38,Male,White,27/08/2020,Salt Lake,U.S. Marshals Service,Gunshot
17,Male,Hispanic,26/08/2020,Pima,Tucson Police Department,Gunshot
29,Male,Black,26/08/2020,Harris,Houston Police Department,Gunshot
30,Male,Unknown race,25/08/2020,Knox,Kentucky State Police,Gunshot
31,Male,Black,25/08/2020,Bexar,Bexar County Sheriff's Office,Gunshot
41,Male,White,25/08/2020,Knox,Kentucky State Police,Gunshot
47,Male,Unknown race,25/08/2020,Calhoun,Calhoun County Sheriff's Office,Gunshot
31,Male,Unknown race,24/08/2020,Gaston,Lincoln County Sheriff's Office,Gunshot
Unknown,,Unknown race,24/08/2020,Bernalillo,Bernalillo County Sheriff's Office,Gunshot
47,Male,Unknown race,23/08/2020,Camden,Kingsland Police Department,Gunshot
29,Male,Unknown race,22/08/2020,Sacramento,Sacramento County Sheriff's Office,Gunshot
31,Male,Black,22/08/2020,Lafayette,Lafayette Police Department,"Gunshot, Taser"
39,Male,Unknown race,22/08/2020,San Bernardino,San Bernardino County Sheriff's Office,Gunshot
35,Male,Native American,22/08/2020,Rolette,"U.S. Bureau of Indian Affairs, Rolette County Sheriff's Office, Rolette Police Department, Rolla Police Department",Gunshot
39,Male,Unknown race,21/08/2020,Monmouth,Asbury Park Police Department,Gunshot
42,Male,White,21/08/2020,San Luis Obispo,"San Luis Obispo County Sheriff's Office, California Highway Patrol",Gunshot
35,Male,White,20/08/2020,DeKalb,"Gentry County Sheriff's Office, Missouri State Highway Patrol",Gunshot
36,Male,Hispanic,20/08/2020,Kern,Kern County Sheriff's Office,Gunshot
37,Male,White,20/08/2020,Lonoke,Cabot Police Department,Gunshot
43,Male,White,20/08/2020,Hays,"Hays County Sheriff's Office, Texas Department of Public Safety",Gunshot
Unknown,Male,Unknown race,20/08/2020,Hernando,Hernando County Sheriff's Office,Gunshot
21,Male,Hispanic,19/08/2020,Cameron,San Benito Police Department,Gunshot
39,Male,Unknown race,19/08/2020,Mohave,Lake Havasu City Police Department,Gunshot
60,Male,White,19/08/2020,Walker,Walker County Sheriff's Office,Gunshot
37,Male,Black,18/08/2020,Cumberland,Cumberland County Sheriff's Office,Gunshot
Unknown,Male,White,18/08/2020,Matagorda,"Bay City Police Department, Matagorda County Sheriff's Office, Texas Department of Public Safety",Gunshot
38,Male,Unknown race,18/08/2020,Jones,Jones County Sheriff's Office,Gunshot
27,Male,Hispanic,17/08/2020,Hidalgo,Weslaco Police Department,Gunshot
34,Male,White,17/08/2020,Highlands,Highlands County Sheriff's Office,Gunshot
35,Male,White,17/08/2020,San Bernardino,Barstow Police Department,Gunshot
36,Male,Hispanic,17/08/2020,San Bernardino,San Bernardino Police Department,Gunshot
Unknown,Male,Hispanic,17/08/2020,Kern,Bakersfield Police Department,Gunshot
27,Male,Hispanic,16/08/2020,Merced,Merced County Sheriff's Office,Gunshot
30,Male,Unknown race,16/08/2020,Riverside,Hemet Police Department,Gunshot
Unknown,Male,White,16/08/2020,Clark,Las Vegas Metropolitan Police Department,Gunshot
35,Male,White,16/08/2020,Maury,Maury County Sheriff's Office,Gunshot
32,Male,Black,15/08/2020,Los Angeles,Pasadena Police Department,Gunshot
41,Male,Unknown race,15/08/2020,Anderson,Oak Ridge Police Department,Gunshot
52,Male,White,15/08/2020,Marion,Marion County Sheriff's Office,Gunshot
