County,description,Symptoms_mental_illness,Unarmed_Armed,Alleged_Threat_Level,Fleeing,Body_Camera,Geography
Virginia Beach City,"Police were called at 4:26 a.m. for a domestic violence call. When officers arrived, they encountered a man, who police said was armed with bladed weapons. He retreated to another room in the house, taking the woman with him, and barricaded the door. Officers breached the door and saw the man restraining the woman, who was suffering from obvious injury. Two officers shot and killed the man.",No,Allegedly Armed,attack,Not fleeing,,
Cook,A man allegedly stabbed someone and then allegedly stabbed a Chicago police officer in the vest. Officers shot and killed him.,No,Allegedly Armed,attack,Not fleeing,,
Bexar,A man was detained by an off-duty Floresville officer who was working security at an H-E-B around 2:30 p.m. The off-duty officer called police. A San Antonio officer and the off-duty officer walked the man to the patrol unit in the H-E-B parking lot. The man was allowed to search in his backpack and stabbed the officer in the face. The on-duty and off-duty officers shot and killed him.,No,Allegedly Armed,attack,Not fleeing,,
Calhoun,"Following a 15-minute pursuit after two Battle Creek officers in the same patrol vehicle attempted to stop a suspected drunken driver. Police pursued the SUV despite their claims the person was driving recklessly including into the wrong lanes of traffic at speeds of 90 miles per hour. The driver lost control and traveled over the curb. As the three officers began to approach the SUV, it drove toward them, striking the Battle Creek police vehicle. All three officers shot into the moving vehicle, killing the driver, and the vehicle continued until it crashed into woods at the end of the street.",Drug or alcohol use,Vehicle,attack,Car,,
Onondaga,"Officers responded to the Sunoco Gas Station for a gun call around 12:30 a.m. When they arrived, police were met by a 33-year-old man who was armed with a gun. A Syracuse officer shot and killed him.",No,Allegedly Armed,,,,
San Bernardino,Joshua Beedie reportedly injured at least one person during an active shooter incident and refused to surrender during a four-hour standoff. Deputies shot Beedie at approximately 1:30 p.m.,No,Allegedly Armed,attack,,,
Thurston,"Michael Forest Reinoehl was accused of gunning down Aaron J. Danielson, 39, after clashes erupted between Trump supporters and counter-protesters. He was shot and killed near Lacey, Washington, after he emerged from an apartment that was under surveillance and pulled out a gun when confronted. Media reports suggested he was killed by deputy U.S. marshals. Others suggested the officers were from Washington State Department of Corrections, the Pierce County Sheriff's Department and the Lakewood Police Department.",No,Allegedly Armed,,,,
Scott,"Around noon, officers were dispatched for a report of someone bleeding, and a person who was holding a knife to the throat of a 4-year-old child. The home is listed as a registered child development home. Multiple officers responded to the home. Once inside the home, an officer engaged with a man holding a sharp-edged weapon. There were children present, and an officer shot and killed the man.",No,Allegedly Armed,attack,Not fleeing,,
Kern,"Around 7 a.m., a deputy was sent to a call for a man walking in the roadway with a gun. The deputy was also told two vehicles in the area could be related to the call. The deputy arrived, and a man got out of one of the vehicles with a firearm and reportedly brandished it toward the deputy.The deputy shot and killed him.",No,Allegedly Armed,attack,,,
District of Columbia,"About 5 p.m., DC officers responded to a report that were guns in a vehicle in the area. Two men fled on foot after officers approached the vehicle they were looking for, with one of them allegedly producing a gun. An officer shot and killed Deon Kay.",No,Allegedly Armed,,Foot,Yes,
Sacramento,"Police officers arrived at a home around 4 p.m., seeking a white man who allegedly attempted to kill a police officer. After an approximately three-hour standoff, the man was seen fleeing out the back of the home, and he was shot and killed. A gun was allegedly found.",No,Allegedly Armed,attack,,,
Ada,"Officers responded at 3:36 a.m. to a shots-fired call at the KOA Journey. The man was allegedly shooting rounds indiscriminately from a trailer inside the park. It is not clear whether he was aiming at anything in particular. The man continued to fire after officers arrived, and several officers shot and killed the man.",No,Allegedly Armed,attack,Not fleeing,Yes,
San Juan,"Deputies shot and killed Marco Benito around 9:15 a.m. in the area of the San Juan County landfill. Benito allegedly threatened deputies, stating he had a firearm and refused to show his hands.",No,Unclear,other,Other,Yes,
Los Angeles,"About 3:15 p.m., deputies reportedly stopped Dijon Kizzee, because he was on a bicycle in violation of vehicle codes. Kizzee dropped the bike and ran, then allegedly punched one of the deputies in the face when they caught up with him. He allegedly dropped some items in his hands, including a black semi-automatic handgun, at which time a deputy shot and killed him.",No,Unclear,attack,Foot,No,
Cook,Officers were driving in an unmarked vehicle when someone in a group of five people on the sidewalk allegedly opened fire. One officer shot and killed Miguel Vega around 10:45 p.m.,No,Unclear,,,,
Fresno,"At 1:37 a.m., officers were called to a Walmart after a man was spotted holding a rifle in the parking lot. When officers arrived, they found a man in his mid 20s and made contact with him. The man allegedly was armed with something that resembled a rifle. An officer shot and killed the man. Details as to what precipitated the killing were withheld by police.",No,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,Yes,Suburban
